asli,target
both english and indonesia,"indonesia, inggris"
both bahasa and english,"indonesia, inggris"
"bahasa, english & mandarin (if able)","indonesia, inggris, mandarin"
indonesia and mandarin,"indonesia, mandarin"
"mandarin, english, bahasa","indonesia, inggris, mandarin"
bahasa inggris dan bahasa indonesia,"indonesia, inggris"
"english, chinese","inggris, mandarin"
"mandarin, english, bahasa indonesia","indonesia, inggris, mandarin"
indonesian and englsih,"indonesia, inggris"
bahasa mandarin & bahasa inggris,"inggris, mandarin"
bahasa mandarin & indonesia,"indonesia, mandarin"
both indonesia & english,"indonesia, inggris"
english/indonesian (depending on geography),"indonesia, inggris"
