id_loker,provinsi,jumlah_loker
186,Bali,214
187,Sulawesi Utara,42
188,Sulawesi Selatan,121
189,Sumatera Utara,225
190,Daerah Khusus Ibukota Jakarta,5985
191,Daerah Khusus Ibukota Jakarta,5985
192,Daerah Khusus Ibukota Jakarta,5985
193,Riau,86
194,Jawa Timur,1296
195,Daerah Khusus Ibukota Jakarta,5985
196,Daerah Khusus Ibukota Jakarta,5985
197,Daerah Khusus Ibukota Jakarta,5985
198,Daerah Khusus Ibukota Jakarta,5985
199,Banten,1219
200,Daerah Khusus Ibukota Jakarta,5985
201,Daerah Khusus Ibukota Jakarta,5985
202,Kepulauan Riau,126
203,Jawa Timur,1296
204,Daerah Khusus Ibukota Jakarta,5985
205,Jawa Timur,1296
206,Daerah Khusus Ibukota Jakarta,5985
207,Jawa Timur,1296
208,Daerah Khusus Ibukota Jakarta,5985
209,Daerah Khusus Ibukota Jakarta,5985
210,Jawa Timur,1296
211,Daerah Khusus Ibukota Jakarta,5985
212,Banten,1219
213,Jawa Timur,1296
214,Jawa Barat,1771
215,Daerah Khusus Ibukota Jakarta,5985
216,Banten,1219
217,Daerah Khusus Ibukota Jakarta,5985
218,Sumatera Utara,225
219,Daerah Khusus Ibukota Jakarta,5985
220,Jawa Timur,1296
221,Banten,1219
222,Daerah Khusus Ibukota Jakarta,5985
223,Jawa Timur,1296
224,Daerah Khusus Ibukota Jakarta,5985
225,Daerah Khusus Ibukota Jakarta,5985
226,Jawa Barat,1771
227,Daerah Khusus Ibukota Jakarta,5985
228,Jawa Timur,1296
229,Sumatera Utara,225
230,Jawa Barat,1771
231,Jawa Barat,1771
232,Jawa Timur,1296
233,Jawa Barat,1771
234,Jawa Tengah,548
235,Banten,1219
236,Jawa Barat,1771
237,Banten,1219
238,Jawa Timur,1296
239,Jawa Barat,1771
240,Jawa Timur,1296
241,Jawa Timur,1296
242,Daerah Khusus Ibukota Jakarta,5985
243,Daerah Khusus Ibukota Jakarta,5985
244,Banten,1219
245,Banten,1219
246,Daerah Khusus Ibukota Jakarta,5985
247,Daerah Khusus Ibukota Jakarta,5985
248,Daerah Khusus Ibukota Jakarta,5985
249,Jawa Barat,1771
250,Daerah Khusus Ibukota Jakarta,5985
251,Daerah Khusus Ibukota Jakarta,5985
252,Daerah Khusus Ibukota Jakarta,5985
253,Jawa Timur,1296
254,Bali,214
255,Banten,1219
256,Daerah Khusus Ibukota Jakarta,5985
257,Jawa Tengah,548
258,Daerah Khusus Ibukota Jakarta,5985
259,Daerah Khusus Ibukota Jakarta,5985
260,Daerah Khusus Ibukota Jakarta,5985
261,Banten,1219
262,Daerah Khusus Ibukota Jakarta,5985
263,Daerah Khusus Ibukota Jakarta,5985
264,Banten,1219
265,Daerah Khusus Ibukota Jakarta,5985
266,Lampung,43
267,Jawa Barat,1771
268,Sumatera Utara,225
269,Daerah Khusus Ibukota Jakarta,5985
270,Lampung,43
271,Jawa Timur,1296
272,Jawa Timur,1296
273,Daerah Khusus Ibukota Jakarta,5985
274,Lampung,43
275,Daerah Khusus Ibukota Jakarta,5985
276,Kalimantan Timur,159
277,Riau,86
278,Lampung,43
279,Banten,1219
280,Jawa Barat,1771
281,Daerah Khusus Ibukota Jakarta,5985
282,Daerah Khusus Ibukota Jakarta,5985
283,Sulawesi Selatan,121
284,Daerah Khusus Ibukota Jakarta,5985
285,Daerah Khusus Ibukota Jakarta,5985
286,Jawa Barat,1771
287,Bali,214
288,Daerah Istimewa Yogyakarta,216
289,Nusa Tenggara Barat,37
290,Daerah Khusus Ibukota Jakarta,5985
291,Jawa Barat,1771
292,Daerah Khusus Ibukota Jakarta,5985
293,Daerah Khusus Ibukota Jakarta,5985
294,Daerah Khusus Ibukota Jakarta,5985
295,Daerah Khusus Ibukota Jakarta,5985
296,Gorontalo,7
297,Daerah Khusus Ibukota Jakarta,5985
298,Daerah Khusus Ibukota Jakarta,5985
299,Daerah Khusus Ibukota Jakarta,5985
300,Jawa Barat,1771
301,Daerah Khusus Ibukota Jakarta,5985
302,Daerah Khusus Ibukota Jakarta,5985
303,Daerah Khusus Ibukota Jakarta,5985
304,Daerah Khusus Ibukota Jakarta,5985
305,Daerah Khusus Ibukota Jakarta,5985
306,Jawa Barat,1771
307,Banten,1219
308,Daerah Khusus Ibukota Jakarta,5985
309,Daerah Khusus Ibukota Jakarta,5985
310,Daerah Khusus Ibukota Jakarta,5985
311,Jawa Barat,1771
312,Jawa Barat,1771
313,Jawa Barat,1771
314,Jawa Tengah,548
315,Daerah Khusus Ibukota Jakarta,5985
316,Daerah Khusus Ibukota Jakarta,5985
317,Bali,214
318,Jawa Tengah,548
319,Jawa Timur,1296
320,Daerah Khusus Ibukota Jakarta,5985
321,Banten,1219
322,Nusa Tenggara Timur,18
323,Daerah Khusus Ibukota Jakarta,5985
324,Daerah Khusus Ibukota Jakarta,5985
325,Daerah Khusus Ibukota Jakarta,5985
326,Daerah Khusus Ibukota Jakarta,5985
327,Jawa Tengah,548
328,Daerah Khusus Ibukota Jakarta,5985
329,Jawa Barat,1771
330,Kalimantan Selatan,72
331,Jawa Timur,1296
332,Daerah Istimewa Yogyakarta,216
333,Banten,1219
334,Kalimantan Tengah,45
335,Maluku Utara,14
336,Jawa Barat,1771
337,Daerah Khusus Ibukota Jakarta,5985
338,Jawa Timur,1296
339,Kepulauan Riau,126
340,Banten,1219
341,Jawa Barat,1771
342,Daerah Khusus Ibukota Jakarta,5985
343,Daerah Khusus Ibukota Jakarta,5985
344,Sulawesi Utara,42
345,Banten,1219
346,Daerah Khusus Ibukota Jakarta,5985
347,Jawa Timur,1296
348,Daerah Khusus Ibukota Jakarta,5985
349,Jawa Timur,1296
350,Daerah Khusus Ibukota Jakarta,5985
351,Sulawesi Selatan,121
352,Daerah Khusus Ibukota Jakarta,5985
353,Banten,1219
354,Banten,1219
355,Banten,1219
356,Jawa Timur,1296
357,Jawa Barat,1771
358,Daerah Khusus Ibukota Jakarta,5985
359,Banten,1219
360,Jawa Tengah,548
361,Daerah Khusus Ibukota Jakarta,5985
362,Daerah Khusus Ibukota Jakarta,5985
363,Daerah Khusus Ibukota Jakarta,5985
364,Daerah Khusus Ibukota Jakarta,5985
365,Daerah Khusus Ibukota Jakarta,5985
366,Daerah Khusus Ibukota Jakarta,5985
367,Daerah Khusus Ibukota Jakarta,5985
368,Riau,86
369,Daerah Khusus Ibukota Jakarta,5985
370,Bali,214
371,Banten,1219
372,Jawa Timur,1296
373,Daerah Khusus Ibukota Jakarta,5985
374,Daerah Khusus Ibukota Jakarta,5985
375,Banten,1219
376,Kalimantan Barat,54
377,Daerah Khusus Ibukota Jakarta,5985
378,Daerah Khusus Ibukota Jakarta,5985
379,Jawa Timur,1296
380,Jawa Timur,1296
381,Daerah Khusus Ibukota Jakarta,5985
382,Jawa Barat,1771
383,Daerah Khusus Ibukota Jakarta,5985
384,Daerah Khusus Ibukota Jakarta,5985
385,Jawa Barat,1771
386,Daerah Khusus Ibukota Jakarta,5985
387,Daerah Khusus Ibukota Jakarta,5985
388,Jawa Barat,1771
389,Daerah Khusus Ibukota Jakarta,5985
390,Daerah Khusus Ibukota Jakarta,5985
391,Daerah Khusus Ibukota Jakarta,5985
392,Daerah Khusus Ibukota Jakarta,5985
393,Daerah Khusus Ibukota Jakarta,5985
394,Daerah Khusus Ibukota Jakarta,5985
395,Bali,214
396,Daerah Khusus Ibukota Jakarta,5985
397,Daerah Khusus Ibukota Jakarta,5985
398,Daerah Khusus Ibukota Jakarta,5985
399,Jawa Timur,1296
400,Daerah Khusus Ibukota Jakarta,5985
401,Daerah Khusus Ibukota Jakarta,5985
402,Jawa Barat,1771
403,Daerah Khusus Ibukota Jakarta,5985
404,Daerah Khusus Ibukota Jakarta,5985
405,Banten,1219
406,Jawa Barat,1771
407,Sumatera Selatan,120
408,Jawa Timur,1296
409,Daerah Khusus Ibukota Jakarta,5985
410,Daerah Khusus Ibukota Jakarta,5985
411,Daerah Khusus Ibukota Jakarta,5985
412,Daerah Khusus Ibukota Jakarta,5985
413,Daerah Khusus Ibukota Jakarta,5985
414,Daerah Khusus Ibukota Jakarta,5985
415,Daerah Khusus Ibukota Jakarta,5985
416,Daerah Khusus Ibukota Jakarta,5985
417,Daerah Khusus Ibukota Jakarta,5985
418,Daerah Khusus Ibukota Jakarta,5985
419,Jawa Barat,1771
420,Maluku,6
421,Daerah Khusus Ibukota Jakarta,5985
422,Daerah Istimewa Yogyakarta,216
423,Sumatera Selatan,120
424,Daerah Khusus Ibukota Jakarta,5985
425,Daerah Khusus Ibukota Jakarta,5985
426,Sumatera Utara,225
427,Daerah Khusus Ibukota Jakarta,5985
428,Daerah Khusus Ibukota Jakarta,5985
429,Daerah Khusus Ibukota Jakarta,5985
430,Daerah Khusus Ibukota Jakarta,5985
431,Daerah Khusus Ibukota Jakarta,5985
432,Daerah Khusus Ibukota Jakarta,5985
433,Daerah Khusus Ibukota Jakarta,5985
434,Jawa Timur,1296
435,Jawa Timur,1296
436,Daerah Khusus Ibukota Jakarta,5985
437,Daerah Khusus Ibukota Jakarta,5985
438,Sulawesi Selatan,121
439,Banten,1219
440,Banten,1219
441,Daerah Khusus Ibukota Jakarta,5985
442,Banten,1219
443,Banten,1219
444,Jawa Barat,1771
445,Daerah Khusus Ibukota Jakarta,5985
446,Banten,1219
447,Daerah Khusus Ibukota Jakarta,5985
448,Jawa Barat,1771
449,Daerah Khusus Ibukota Jakarta,5985
450,Jawa Barat,1771
451,Daerah Khusus Ibukota Jakarta,5985
452,Daerah Khusus Ibukota Jakarta,5985
453,Jawa Tengah,548
454,Jawa Timur,1296
455,Jawa Tengah,548
456,Daerah Khusus Ibukota Jakarta,5985
457,Jawa Tengah,548
458,Daerah Khusus Ibukota Jakarta,5985
459,Bali,214
460,Daerah Khusus Ibukota Jakarta,5985
461,Daerah Istimewa Yogyakarta,216
462,Daerah Khusus Ibukota Jakarta,5985
463,Daerah Khusus Ibukota Jakarta,5985
464,Jawa Tengah,548
465,Daerah Khusus Ibukota Jakarta,5985
466,Daerah Khusus Ibukota Jakarta,5985
467,Jawa Timur,1296
468,Jawa Barat,1771
469,Jawa Timur,1296
470,Jawa Timur,1296
471,Daerah Khusus Ibukota Jakarta,5985
472,Daerah Khusus Ibukota Jakarta,5985
473,Jawa Timur,1296
474,Jawa Timur,1296
475,Daerah Khusus Ibukota Jakarta,5985
476,Jawa Barat,1771
477,Jawa Timur,1296
478,Jawa Timur,1296
479,Jawa Timur,1296
480,Daerah Khusus Ibukota Jakarta,5985
481,Sumatera Utara,225
482,Jawa Barat,1771
483,Banten,1219
484,Daerah Khusus Ibukota Jakarta,5985
485,Kepulauan Riau,126
486,Daerah Khusus Ibukota Jakarta,5985
487,Jawa Tengah,548
488,Daerah Khusus Ibukota Jakarta,5985
489,Daerah Khusus Ibukota Jakarta,5985
490,Daerah Khusus Ibukota Jakarta,5985
491,Daerah Khusus Ibukota Jakarta,5985
492,Jawa Timur,1296
493,Jawa Barat,1771
494,Jawa Tengah,548
495,Jawa Barat,1771
496,Daerah Khusus Ibukota Jakarta,5985
497,Daerah Khusus Ibukota Jakarta,5985
498,Daerah Khusus Ibukota Jakarta,5985
499,Daerah Khusus Ibukota Jakarta,5985
500,Daerah Khusus Ibukota Jakarta,5985
501,Daerah Khusus Ibukota Jakarta,5985
502,Banten,1219
503,Daerah Istimewa Yogyakarta,216
504,Daerah Khusus Ibukota Jakarta,5985
505,Daerah Istimewa Yogyakarta,216
506,Daerah Khusus Ibukota Jakarta,5985
507,Jawa Timur,1296
508,Jawa Barat,1771
509,Daerah Khusus Ibukota Jakarta,5985
510,Daerah Istimewa Yogyakarta,216
511,Sulawesi Tengah,40
512,Daerah Khusus Ibukota Jakarta,5985
513,Kalimantan Timur,159
514,Jawa Barat,1771
515,Daerah Khusus Ibukota Jakarta,5985
516,Daerah Khusus Ibukota Jakarta,5985
517,Banten,1219
518,Daerah Khusus Ibukota Jakarta,5985
519,Banten,1219
520,Sumatera Selatan,120
521,Daerah Khusus Ibukota Jakarta,5985
522,Sumatera Utara,225
523,Jawa Timur,1296
524,Jawa Barat,1771
525,Jawa Tengah,548
526,Daerah Khusus Ibukota Jakarta,5985
527,Sumatera Utara,225
528,Banten,1219
529,Daerah Khusus Ibukota Jakarta,5985
530,Jawa Barat,1771
531,Banten,1219
532,Kepulauan Bangka Belitung,8
533,Daerah Khusus Ibukota Jakarta,5985
534,Banten,1219
535,Banten,1219
536,Daerah Khusus Ibukota Jakarta,5985
537,Sumatera Utara,225
538,Kalimantan Timur,159
539,Daerah Khusus Ibukota Jakarta,5985
540,Jawa Timur,1296
541,Daerah Khusus Ibukota Jakarta,5985
542,Banten,1219
543,Jawa Timur,1296
544,Daerah Khusus Ibukota Jakarta,5985
545,Jawa Barat,1771
546,Daerah Khusus Ibukota Jakarta,5985
547,Daerah Khusus Ibukota Jakarta,5985
548,Daerah Khusus Ibukota Jakarta,5985
549,Jawa Barat,1771
550,Daerah Khusus Ibukota Jakarta,5985
551,Banten,1219
552,Kepulauan Riau,126
553,Daerah Khusus Ibukota Jakarta,5985
554,Sumatera Selatan,120
555,Jawa Timur,1296
556,Daerah Khusus Ibukota Jakarta,5985
557,Daerah Khusus Ibukota Jakarta,5985
558,Sumatera Selatan,120
559,Daerah Khusus Ibukota Jakarta,5985
560,Daerah Khusus Ibukota Jakarta,5985
561,Daerah Khusus Ibukota Jakarta,5985
562,Daerah Khusus Ibukota Jakarta,5985
563,Daerah Khusus Ibukota Jakarta,5985
564,Jawa Tengah,548
565,Jawa Timur,1296
566,Banten,1219
567,Bali,214
568,Daerah Khusus Ibukota Jakarta,5985
569,Daerah Khusus Ibukota Jakarta,5985
570,Jawa Barat,1771
571,Jawa Timur,1296
572,Daerah Khusus Ibukota Jakarta,5985
573,Daerah Khusus Ibukota Jakarta,5985
574,Banten,1219
575,Sumatera Selatan,120
576,Daerah Khusus Ibukota Jakarta,5985
577,Jambi,37
578,Sulawesi Utara,42
579,Jawa Barat,1771
580,Jawa Barat,1771
581,Daerah Khusus Ibukota Jakarta,5985
582,Daerah Khusus Ibukota Jakarta,5985
583,Daerah Khusus Ibukota Jakarta,5985
584,Jawa Barat,1771
585,Jawa Barat,1771
586,Daerah Khusus Ibukota Jakarta,5985
587,Daerah Khusus Ibukota Jakarta,5985
588,Jawa Barat,1771
589,Sumatera Utara,225
590,Banten,1219
591,Kalimantan Tengah,45
592,Daerah Khusus Ibukota Jakarta,5985
593,Daerah Khusus Ibukota Jakarta,5985
594,Jawa Timur,1296
595,Daerah Khusus Ibukota Jakarta,5985
596,Kalimantan Timur,159
597,Banten,1219
598,Bali,214
599,Jawa Tengah,548
600,Banten,1219
601,Daerah Khusus Ibukota Jakarta,5985
602,Banten,1219
603,Daerah Istimewa Yogyakarta,216
604,Daerah Khusus Ibukota Jakarta,5985
605,Daerah Khusus Ibukota Jakarta,5985
606,Daerah Khusus Ibukota Jakarta,5985
607,Daerah Khusus Ibukota Jakarta,5985
608,Daerah Khusus Ibukota Jakarta,5985
609,Jawa Timur,1296
610,Daerah Khusus Ibukota Jakarta,5985
611,Daerah Khusus Ibukota Jakarta,5985
612,Daerah Khusus Ibukota Jakarta,5985
613,Bali,214
614,Jawa Timur,1296
615,Daerah Khusus Ibukota Jakarta,5985
616,Banten,1219
617,Daerah Khusus Ibukota Jakarta,5985
618,Jawa Barat,1771
619,Banten,1219
620,Jambi,37
621,Daerah Khusus Ibukota Jakarta,5985
622,Daerah Istimewa Yogyakarta,216
623,Daerah Khusus Ibukota Jakarta,5985
624,Daerah Istimewa Yogyakarta,216
625,Daerah Khusus Ibukota Jakarta,5985
626,Daerah Khusus Ibukota Jakarta,5985
627,Jawa Barat,1771
628,Jawa Timur,1296
629,Daerah Khusus Ibukota Jakarta,5985
630,Daerah Khusus Ibukota Jakarta,5985
631,Kalimantan Selatan,72
632,Jawa Barat,1771
633,Kepulauan Bangka Belitung,8
634,Daerah Khusus Ibukota Jakarta,5985
635,Kepulauan Riau,126
636,Kalimantan Selatan,72
637,Sulawesi Selatan,121
638,Daerah Khusus Ibukota Jakarta,5985
639,Jawa Barat,1771
640,Jawa Barat,1771
641,Daerah Khusus Ibukota Jakarta,5985
642,Daerah Khusus Ibukota Jakarta,5985
643,Banten,1219
644,Daerah Khusus Ibukota Jakarta,5985
645,Daerah Khusus Ibukota Jakarta,5985
646,Banten,1219
647,Banten,1219
648,Jawa Tengah,548
649,Daerah Khusus Ibukota Jakarta,5985
650,Daerah Khusus Ibukota Jakarta,5985
651,Daerah Khusus Ibukota Jakarta,5985
652,Daerah Khusus Ibukota Jakarta,5985
653,Riau,86
654,Daerah Khusus Ibukota Jakarta,5985
655,Daerah Khusus Ibukota Jakarta,5985
656,Banten,1219
657,Daerah Khusus Ibukota Jakarta,5985
658,Daerah Khusus Ibukota Jakarta,5985
659,Banten,1219
660,Jawa Timur,1296
661,Jawa Barat,1771
662,Daerah Khusus Ibukota Jakarta,5985
663,Daerah Khusus Ibukota Jakarta,5985
664,Daerah Khusus Ibukota Jakarta,5985
665,Daerah Khusus Ibukota Jakarta,5985
666,Jawa Barat,1771
667,Daerah Khusus Ibukota Jakarta,5985
668,Daerah Khusus Ibukota Jakarta,5985
669,Daerah Khusus Ibukota Jakarta,5985
670,Daerah Khusus Ibukota Jakarta,5985
671,Daerah Khusus Ibukota Jakarta,5985
672,Daerah Khusus Ibukota Jakarta,5985
673,Daerah Khusus Ibukota Jakarta,5985
674,Daerah Khusus Ibukota Jakarta,5985
675,Daerah Khusus Ibukota Jakarta,5985
676,Daerah Khusus Ibukota Jakarta,5985
677,Jawa Timur,1296
678,Kalimantan Timur,159
679,Banten,1219
680,Daerah Khusus Ibukota Jakarta,5985
681,Daerah Khusus Ibukota Jakarta,5985
682,Daerah Khusus Ibukota Jakarta,5985
683,Kalimantan Timur,159
684,Daerah Khusus Ibukota Jakarta,5985
685,Jawa Timur,1296
686,Banten,1219
687,Daerah Khusus Ibukota Jakarta,5985
688,Daerah Khusus Ibukota Jakarta,5985
689,Bali,214
690,Jawa Barat,1771
691,Daerah Khusus Ibukota Jakarta,5985
692,Daerah Khusus Ibukota Jakarta,5985
693,Daerah Khusus Ibukota Jakarta,5985
694,Sulawesi Utara,42
695,Jawa Barat,1771
696,Daerah Khusus Ibukota Jakarta,5985
697,Jawa Timur,1296
698,Daerah Khusus Ibukota Jakarta,5985
699,Daerah Khusus Ibukota Jakarta,5985
700,Jawa Timur,1296
701,Daerah Khusus Ibukota Jakarta,5985
702,Jawa Timur,1296
703,Banten,1219
704,Daerah Khusus Ibukota Jakarta,5985
705,Jambi,37
706,Jawa Timur,1296
707,Daerah Khusus Ibukota Jakarta,5985
708,Jawa Barat,1771
709,Jawa Timur,1296
710,Jawa Barat,1771
711,Daerah Khusus Ibukota Jakarta,5985
712,Daerah Khusus Ibukota Jakarta,5985
713,Daerah Khusus Ibukota Jakarta,5985
714,Banten,1219
715,Jawa Timur,1296
716,Daerah Khusus Ibukota Jakarta,5985
717,Jawa Timur,1296
718,Daerah Khusus Ibukota Jakarta,5985
719,Jawa Barat,1771
