id_loker,provinsi,pendidikan
95,Daerah Khusus Ibukota Jakarta,TIDAK DICANTUMKAN
96,Jawa Barat,D3
96,Jawa Barat,S1
96,Jawa Barat,SMA
97,Jawa Tengah,PROFESI
97,Jawa Tengah,D3
98,Daerah Khusus Ibukota Jakarta,PROFESI
98,Daerah Khusus Ibukota Jakarta,D3
98,Daerah Khusus Ibukota Jakarta,S1
99,Jambi,D3
99,Jambi,S1
99,Jambi,SMA
100,Sumatera Utara,D3
100,Sumatera Utara,S1
100,Sumatera Utara,SMA
101,Aceh,D3
101,Aceh,S1
101,Aceh,SMA
102,Kepulauan Bangka Belitung,D3
102,Kepulauan Bangka Belitung,S1
102,Kepulauan Bangka Belitung,SMA
103,Jawa Barat,D3
103,Jawa Barat,S1
103,Jawa Barat,SMA
104,Bengkulu,D3
104,Bengkulu,S1
105,Jawa Barat,D3
105,Jawa Barat,S1
105,Jawa Barat,SMA
106,Daerah Khusus Ibukota Jakarta,S1
107,Jambi,D3
107,Jambi,S1
107,Jambi,SMA
108,Sumatera Barat,D3
108,Sumatera Barat,S1
108,Sumatera Barat,SMA
109,Lampung,D3
109,Lampung,S1
110,Jawa Barat,D3
110,Jawa Barat,S1
110,Jawa Barat,SMA
111,Jawa Barat,D3
111,Jawa Barat,S1
111,Jawa Barat,SMA
112,Jambi,D3
112,Jambi,S1
112,Jambi,SMA
113,Daerah Khusus Ibukota Jakarta,PROFESI
113,Daerah Khusus Ibukota Jakarta,S2
114,Kalimantan Timur,SMA
115,Jawa Tengah,D3
115,Jawa Tengah,S1
116,Banten,D3
116,Banten,S1
117,Jawa Timur,D3
117,Jawa Timur,S1
118,Jawa Barat,D3
118,Jawa Barat,S1
118,Jawa Barat,SMA
119,Jawa Barat,D3
119,Jawa Barat,S1
119,Jawa Barat,SMA
120,Jawa Barat,S1
121,Daerah Khusus Ibukota Jakarta,S1
122,Daerah Khusus Ibukota Jakarta,TIDAK DICANTUMKAN
123,Jawa Timur,PROFESI
124,Sumatera Utara,S1
