id_loker,pulau,provinsi,job_position,company_name,years_of_experience,years_of_experience_cat,average_processing_time,company_industry,company_size,work_environment_waktu_bekerja,work_environment_gaya_berpakaian,work_environment_gaya_berpakaian_contoh,work_environment_tunjangan,work_environment_bahasa,platform,pendidikan,jumlah_loker_per_provinsi
1485,Jawa,Jawa Tengah,Auditor Internal,PT Phapros Tbk,3,0 - 4 tahun,14,BioTeknologi/Farmasi/Riset klinik,1001 - 2000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, umum",Indonesia,jobstreet,S1,548
1486,Jawa,Banten,Reporting & Fixed Asset Spv,CINEPOLIS INDONESIA,1,0 - 4 tahun,11,Hiburan/Media,1001 - 2000 pekerja,senin - jumat,kasual,kaos,"kesehatan, kacamata",Inggris,jobstreet,S1,1219
1487,Jawa,Daerah Khusus Ibukota Jakarta,Customer Service,PT GRAVITY GAME LINK,3,0 - 4 tahun,10,Hiburan/Media,1- 50 pekerja,senin - jumat,kasual,kaos,tidak tersedia,Indonesia,jobstreet,PROFESI,5985
1488,Jawa,Jawa Barat,Staff Procurement Ar,Honda Kencana Kranji (PT Kencana Dharma Abadi),0,0 - 4 tahun,14,Automobil/Mesin Tambahan Automotif/Kendaraan,51 - 200 pekerja,senin - sabtu,bisnis,kemeja,umum,Indonesia,jobstreet,S1,1771
1489,Jawa,Daerah Khusus Ibukota Jakarta,Sales,PT CBQA Global Indonesia,3,0 - 4 tahun,1,Konsultasi (Bisnis & Manajemen),1- 50 pekerja,senin - jumat,bisnis,kemeja,kesehatan,Indonesia,jobstreet,S1,5985
1490,Jawa,Daerah Khusus Ibukota Jakarta,Purchasing Manager,PT Jakarta International Expo,5,5 - 9 tahun,14,Pameran/Manajemen acara/PIKP,501 - 1000 pekerja,senin - sabtu,bisnis,kemeja,"kesehatan, umum",Indonesia,jobstreet,S1,5985
1491,Sumatera,Sumatera Utara,Warehouse Crew,PT Central Mandiri Cemerlang,2,0 - 4 tahun,14,Manufaktur/Produksi,51 - 200 pekerja,senin - jumat,kasual,kaos,"kesehatan, umum",Indonesia,jobstreet,S1,225
1492,Jawa,Daerah Istimewa Yogyakarta,Manajer,Akalab mahardika Indonesia,2,0 - 4 tahun,1,BioTeknologi/Farmasi/Riset klinik,tidak spesifik,senin - jumat,bisnis,kemeja,tidak tersedia,Indonesia,jobstreet,S1,216
1493,Jawa,Daerah Khusus Ibukota Jakarta,Partnership Banking & Payment Manager,Erajaya Group,5,5 - 9 tahun,14,Retail/Merchandise,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",Inggris,jobstreet,TIDAK DICANTUMKAN,5985
1494,Jawa,Daerah Khusus Ibukota Jakarta,Account Manager,JD .ID (PT Ritel Bersama Nasional),4,0 - 4 tahun,14,Retail/Merchandise,201 - 500 pekerja,senin - jumat,kasual,kaos,"kesehatan, umum, kacamata",Inggris,jobstreet,S1,5985
1495,Jawa,Jawa Timur,Senior Beauty Consultant,EUROMEDICA GROUP,4,0 - 4 tahun,14,Perawatan/Kecantikan/Fitnes,201 - 500 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, umum",Indonesia,jobstreet,"PROFESI, SMA, D3",1296
1496,Jawa,Daerah Khusus Ibukota Jakarta,Commercial Consultant,PT Citra Sukses Mandiri (ADVANCE),2,0 - 4 tahun,14,Kesehatan/Medis,1001 - 2000 pekerja,senin - jumat,bisnis,kemeja,kesehatan,Indonesia,jobstreet,SMA,5985
1497,Jawa,Daerah Khusus Ibukota Jakarta,Crm Executive,PT. Pinduit Teknologi Indonesia,1,0 - 4 tahun,12,Komputer/Teknik Informatika (Perangkat Lunak),1- 50 pekerja,senin - jumat,kasual,kaos,kesehatan,Indonesia,jobstreet,S1,5985
1498,Jawa,Banten,Social Media Specialist,STELLA MARIS SCHOOL,2,0 - 4 tahun,14,Pendidikan,201 - 500 pekerja,senin - jumat,formal,kemeja polos & dasi,"kesehatan, umum",Inggris,jobstreet,S1,1219
1499,Jawa,Jawa Timur,Design Admin Sosmed,CV VICTORIA GRAND,1,0 - 4 tahun,1,Lainnya,1- 50 pekerja,tidak tersedia,tidak spesifik,tidak spesifik,tidak tersedia,Tidak Dicantumkan,jobstreet,TIDAK DICANTUMKAN,1296
1500,Jawa,Daerah Khusus Ibukota Jakarta,Sales & Marketing Assistant Manager For It Product,Parastar Distrindo,3,0 - 4 tahun,14,Telekomunikasi,1001 - 2000 pekerja,senin - jumat,bisnis,kemeja,kesehatan,Indonesia,jobstreet,S1,5985
1501,Jawa,Daerah Khusus Ibukota Jakarta,Sales Manager,PT Ascott International Management Indonesia,3,0 - 4 tahun,14,Hotel/Pariwisata,201 - 500 pekerja,senin - jumat,"formal, seragam","kemeja polos & dasi, seragam kantor/lapangan",kesehatan,Inggris,jobstreet,"D3, S1",5985
1502,Jawa,Daerah Istimewa Yogyakarta,Kepala Admin Penjualan,Fuboru Indonesia Group,2,0 - 4 tahun,14,Manufaktur/Produksi,501 - 1000 pekerja,senin - sabtu,bisnis,kemeja,"bpjs kesehatan, thr, makan",Indonesia,jobstreet,S1,216
1503,Jawa,Jawa Timur,Sales Promotion Staff,PT. Satya Langgeng Sentosa,1,0 - 4 tahun,14,Manufaktur/Produksi,201 - 500 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, umum",Indonesia,jobstreet,SMA,1296
1504,Jawa,Daerah Khusus Ibukota Jakarta,Copywriter,PT. Pinduit Teknologi Indonesia,1,0 - 4 tahun,12,Komputer/Teknik Informatika (Perangkat Lunak),1- 50 pekerja,senin - jumat,kasual,kaos,kesehatan,Indonesia,jobstreet,S1,5985
1505,Jawa,Daerah Khusus Ibukota Jakarta,Accounting.,PT TAJO EYES INNOVATION,1,0 - 4 tahun,1,Lainnya,tidak spesifik,tidak tersedia,tidak spesifik,tidak spesifik,tidak tersedia,Tidak Dicantumkan,jobstreet,D3,5985
1506,Jawa,Daerah Khusus Ibukota Jakarta,University Quality Assurance Staff,KALBIS Institute,2,0 - 4 tahun,14,Pendidikan,51 - 200 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, tidak tersedia","Indonesia, Inggris",jobstreet,S1,5985
1507,Sumatera,Kepulauan Riau,Electrical Engineer,PT TEC Indonesia (Batam),2,0 - 4 tahun,4,Elektrikal & Elektronik,tidak spesifik,tidak tersedia,tidak spesifik,tidak spesifik,tidak tersedia,Tidak Dicantumkan,jobstreet,S1,126
1508,Jawa,Jawa Barat,Manager Marketing Property,PT Yobelindo Graha Mandiri,1,0 - 4 tahun,14,Properti/Real Estate,51 - 200 pekerja,senin - sabtu,bisnis,kemeja,"kesehatan, umum",Indonesia,jobstreet,S1,1771
1509,Jawa,Daerah Khusus Ibukota Jakarta,Editor Online Bisnis.Com English Edition,Bisnis Indonesia,1,0 - 4 tahun,14,Jurnalisme,201 - 500 pekerja,senin - jumat,formal,kemeja polos & dasi,"kesehatan, umum",Indonesia,jobstreet,TIDAK DICANTUMKAN,5985
1510,Jawa,Daerah Khusus Ibukota Jakarta,Social Media Officer,PT. Pinduit Teknologi Indonesia,1,0 - 4 tahun,12,Komputer/Teknik Informatika (Perangkat Lunak),1- 50 pekerja,senin - jumat,kasual,kaos,kesehatan,Indonesia,jobstreet,S1,5985
1511,Jawa,Jawa Barat,Marketing Manager,PT Yobelindo Graha Mandiri,1,0 - 4 tahun,14,Properti/Real Estate,51 - 200 pekerja,senin - sabtu,bisnis,kemeja,"kesehatan, umum",Indonesia,jobstreet,S1,1771
1512,Jawa,Daerah Khusus Ibukota Jakarta,Editor Bisnis.Com,Bisnis Indonesia,3,0 - 4 tahun,14,Jurnalisme,201 - 500 pekerja,senin - jumat,formal,kemeja polos & dasi,"kesehatan, umum",Indonesia,jobstreet,TIDAK DICANTUMKAN,5985
1513,Jawa,Banten,Kepala Produksi Pabrik Plastik,Indokaryaabadi,5,5 - 9 tahun,14,Umum & Grosir,1- 50 pekerja,senin - sabtu,bisnis,kemeja,tidak tersedia,Indonesia,jobstreet,S1,1219
1514,Jawa,Jawa Barat,Marketing Manager,PT Yobelindo Graha Mandiri,1,0 - 4 tahun,14,Properti/Real Estate,51 - 200 pekerja,senin - sabtu,bisnis,kemeja,"kesehatan, umum",Indonesia,jobstreet,S1,1771
1515,Jawa,Daerah Istimewa Yogyakarta,Industrial Engineering Executive,PT Ameya Livingstyle Indonesia,3,0 - 4 tahun,14,Manufaktur/Produksi,1001 - 2000 pekerja,senin - jumat,kasual,kaos,"kesehatan, umum",Indonesia,jobstreet,S1,216
1516,Jawa,Daerah Khusus Ibukota Jakarta,Senior Mis,PT Intrias Mandiri Sejati (Recruitment Firm),1,0 - 4 tahun,14,Konsultasi (Bisnis & Manajemen),lebih dari 5000 pekerja,tidak tersedia,tidak spesifik,tidak spesifik,tidak tersedia,Tidak Dicantumkan,jobstreet,D3,5985
1517,Jawa,Daerah Khusus Ibukota Jakarta,Senior Front End Software Developer,PT Inovasi Kreatif Digital,2,0 - 4 tahun,14,Komputer/Teknik Informatika (Perangkat Lunak),1- 50 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",Inggris,jobstreet,TIDAK DICANTUMKAN,5985
1518,Jawa,Jawa Barat,Production Supervisor,PT Omron Manufacturing Of Indonesia,2,0 - 4 tahun,14,Manufaktur/Produksi,2001 - 5000 pekerja,senin - jumat,bisnis,kemeja,kesehatan,Inggris,jobstreet,"S1, S2, S3",1771
1519,Jawa,Jawa Tengah,Hse Supervisor,PT. Hotel Candi Baru,2,0 - 4 tahun,1,Hotel/Pariwisata,51 - 200 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, umum",Inggris,jobstreet,D3,548
1520,Jawa,Daerah Khusus Ibukota Jakarta,Merchant Relation Acquisition,Berkat Andalan Perkasa,1,0 - 4 tahun,14,Retail/Merchandise,1- 50 pekerja,senin - sabtu,kasual,kaos,tidak tersedia,Indonesia,jobstreet,"D3, S1",5985
1521,Jawa,Jawa Tengah,Marketing Communication Manager,PT. Hotel Candi Baru,5,5 - 9 tahun,1,Hotel/Pariwisata,51 - 200 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, umum",Inggris,jobstreet,S1,548
1522,Jawa,Jawa Tengah,Chief Engineering,PT. Hotel Candi Baru,5,5 - 9 tahun,1,Hotel/Pariwisata,51 - 200 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, umum",Inggris,jobstreet,S1,548
1523,Jawa,Banten,Payroll Staff,PT. STRUKTURINDO TIFATAMA,1,0 - 4 tahun,14,Konstruksi/Bangunan/Teknik,1001 - 2000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, umum",Inggris,jobstreet,D3,1219
1524,Jawa,Daerah Khusus Ibukota Jakarta,Sales Marketing,PT Surya Kencana Adi Cemerlang,2,0 - 4 tahun,14,Properti/Real Estate,1001 - 2000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, umum",Indonesia,jobstreet,D3,5985
1525,Jawa,Daerah Khusus Ibukota Jakarta,Sap Bpc Consultant,PT Accenture,4,0 - 4 tahun,14,Konsultasi (Bisnis & Manajemen),501 - 1000 pekerja,fleksibel,bisnis,kemeja,kesehatan,"Indonesia, Inggris",jobstreet,PROFESI,5985
1526,Kalimantan,Kalimantan Tengah,Hr & Ga Site,"PT Dian Swastatika Sentosa, Tbk",5,5 - 9 tahun,14,Layanan Umum/Tenaga Penggerak,1001 - 2000 pekerja,senin - jumat,bisnis,kemeja,kesehatan,Inggris,jobstreet,S1,45
1527,Jawa,Daerah Khusus Ibukota Jakarta,Assistant Biro Direksi,PT Surya Kencana Adi Cemerlang,5,5 - 9 tahun,14,Properti/Real Estate,1001 - 2000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, umum",Indonesia,jobstreet,D3,5985
1528,Jawa,Daerah Khusus Ibukota Jakarta,Accounting Staff,PT Isma Asia Indotama,4,0 - 4 tahun,tidak tersedia,Bahan Kimia/Pupuk/Pestisida,tidak spesifik,tidak tersedia,tidak spesifik,tidak spesifik,tidak tersedia,Tidak Dicantumkan,jobstreet,S1,5985
1529,Jawa,Daerah Khusus Ibukota Jakarta,Technical Support Associate,PT Nolkesatu Hita Aksata (Recruitment Firm),1,0 - 4 tahun,1,Manajemen/Konsulting HR,201 - 500 pekerja,tidak tersedia,tidak spesifik,tidak spesifik,tidak tersedia,Tidak Dicantumkan,jobstreet,"S1, PROFESI",5985
1530,Sumatera,Kepulauan Riau,Manufacturing Engineer,PT TEC Indonesia (Batam),2,0 - 4 tahun,4,Elektrikal & Elektronik,tidak spesifik,tidak tersedia,tidak spesifik,tidak spesifik,tidak tersedia,Tidak Dicantumkan,jobstreet,S1,126
1531,Jawa,Daerah Istimewa Yogyakarta,Call Center,PT Satriakarya Adiyudha,1,0 - 4 tahun,14,Umum & Grosir,201 - 500 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, umum, pendidikan, kacamata",Indonesia,jobstreet,D3,216
1532,Jawa,Jawa Tengah,Chef,Super Penyet Semarang,2,0 - 4 tahun,14,Makanan & Minuman/Katering/Restoran,51 - 200 pekerja,sabtu,bisnis,kemeja,kesehatan,Indonesia,jobstreet,PROFESI,548
1533,Jawa,Daerah Khusus Ibukota Jakarta,Administration Finance Officer,PT DMS Investama,1,0 - 4 tahun,2,Kesehatan/Medis,51 - 200 pekerja,tidak spesifik,formal,kemeja polos & dasi,umum,Inggris,jobstreet,"D3, S1",5985
1534,Jawa,Daerah Khusus Ibukota Jakarta,Actuarial Specialist,PT AXA Indonesia,3,0 - 4 tahun,14,Asuransi,1001 - 2000 pekerja,senin - jumat,semi formal,kemeja motif,"kesehatan, umum, kacamata",Inggris,jobstreet,S1,5985
1535,Jawa,Daerah Khusus Ibukota Jakarta,Multimedia Designer,PT Interbat,0,0 - 4 tahun,14,Kesehatan/Medis,51 - 200 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bpjs kesehatan",Indonesia,jobstreet,TIDAK DICANTUMKAN,5985
1536,Jawa,Jawa Barat,Drupal Developer,PT Kelly Services Indonesia (Recruitment Firm),3,0 - 4 tahun,14,Manajemen/Konsulting HR,1001 - 2000 pekerja,tidak tersedia,tidak spesifik,tidak spesifik,tidak tersedia,Tidak Dicantumkan,jobstreet,S1,1771
1537,Jawa,Jawa Barat,Sales Executive,PT. Bersama Lemindo Abadi,5,5 - 9 tahun,1,Manufaktur/Produksi,51 - 200 pekerja,sabtu,bisnis,kemeja,kesehatan,Indonesia,jobstreet,"D3, S1",1771
1538,Sumatera,Sumatera Selatan,Planning & Supply Manager,PT Priamanaya Energi,10,10 - 14 tahun,14,Konstruksi/Bangunan/Teknik,201 - 500 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, umum",Indonesia,jobstreet,S1,120
1539,Jawa,Jawa Barat,Operator Produksi,CV Cahaya Prima Mandiri,1,0 - 4 tahun,1,Manufaktur/Produksi,51 - 200 pekerja,tidak spesifik,kasual,kaos,perumahan,Indonesia,jobstreet,TIDAK DICANTUMKAN,1771
1540,Jawa,Banten,Drafter,PT Uma Panca Persada,1,0 - 4 tahun,1,Pelayanan Arsitek/Desain Interior,1- 50 pekerja,senin - sabtu,kasual,kaos,tidak tersedia,Indonesia,jobstreet,"D3, S1",1219
1541,Jawa,Daerah Khusus Ibukota Jakarta,Talent Acquisition,Shopee Internasional Indonesia,1,0 - 4 tahun,14,Komputer/Teknik Informatika (Perangkat Lunak),2001 - 5000 pekerja,senin - jumat,kasual,kaos,umum,Indonesia,jobstreet,S1,5985
1542,Jawa,Banten,Accounting Staff,PT. Flex Indonesia,1,0 - 4 tahun,14,Tekstil/Garment,201 - 500 pekerja,senin - jumat,bisnis,kemeja,kesehatan,Inggris,jobstreet,S1,1219
1543,Jawa,Banten,Golang Developer,PT Swamedia Informatika,3,0 - 4 tahun,10,Komputer/Teknik Informatika (Perangkat Lunak),51 - 200 pekerja,senin - jumat,kasual,kaos,"kesehatan, umum",Indonesia,jobstreet,TIDAK DICANTUMKAN,1219
1544,Sumatera,Sumatera Utara,Sales,PT.Abadi Medan Japaris,2,0 - 4 tahun,tidak tersedia,Lainnya,51 - 200 pekerja,senin - sabtu,kasual,kaos,tidak tersedia,Indonesia,jobstreet,TIDAK DICANTUMKAN,225
1545,Jawa,Daerah Khusus Ibukota Jakarta,Staff Logistic Import,PT. Gree Electric Appliances Indonesia,1,0 - 4 tahun,14,Elektrikal & Elektronik,201 - 500 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, umum, komunikasi","Inggris, Mandarin",jobstreet,TIDAK DICANTUMKAN,5985
1546,Jawa,Jawa Timur,Building Manager,GUNAWANGSA APARTEMENT & HOTEL,5,5 - 9 tahun,14,Hotel/Pariwisata,201 - 500 pekerja,senin - jumat,semi formal,kemeja motif,kesehatan,Indonesia,jobstreet,S1,1296
1547,Jawa,Jawa Barat,Painting Part Quality Handling,PT Minda Automotive Indonesia,2,0 - 4 tahun,11,Automobil/Mesin Tambahan Automotif/Kendaraan,201 - 500 pekerja,sabtu,bisnis,kemeja,umum,Inggris,jobstreet,"SMA, D3",1771
1548,Jawa,Banten,Finance Admin,PT. Metro Agung Sejahtera,2,0 - 4 tahun,1,Properti/Real Estate,501 - 1000 pekerja,sabtu,formal,kemeja polos & dasi,"umum, bpjs kesehatan",Tidak Dicantumkan,jobstreet,S1,1219
1549,Jawa,Jawa Barat,Management Trainee,PT Yusen Logistics Solutions Indonesia,0,0 - 4 tahun,3,Transportasi/Logistik,51 - 200 pekerja,senin - jumat,bisnis,kemeja,tidak tersedia,Indonesia,jobstreet,S1,1771
1550,Jawa,Daerah Khusus Ibukota Jakarta,Mandarin Sales,PT. SHAN HAI MAP,2,0 - 4 tahun,14,Retail/Merchandise,1- 50 pekerja,senin - jumat,bisnis,kemeja,umum,"Indonesia, Inggris",jobstreet,TIDAK DICANTUMKAN,5985
1551,Jawa,Daerah Khusus Ibukota Jakarta,Purchasing Staff,PT Merpati Mahardika,2,0 - 4 tahun,14,Produk Konsumen/Barang konsumen yang bergerak cepat,201 - 500 pekerja,senin - sabtu,bisnis,kemeja,kesehatan,Indonesia,jobstreet,S1,5985
1552,Jawa,Daerah Khusus Ibukota Jakarta,It Infrastructure,PT Indomobil Finance Indonesia,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,2001 - 5000 pekerja,senin - sabtu,bisnis,kemeja,"kesehatan, umum, bpjs kesehatan, bonus, thr",Indonesia,jobstreet,S1,5985
1553,Jawa,Daerah Khusus Ibukota Jakarta,Sales Counter,PT DeVa Auto Prima,3,0 - 4 tahun,1,Lainnya,1- 50 pekerja,senin - sabtu,kasual,kaos,tidak tersedia,Tidak Dicantumkan,jobstreet,D3,5985
1554,Jawa,Daerah Khusus Ibukota Jakarta,It Development Manager,PT. Kalbe Farma Tbk. (International Division),6,5 - 9 tahun,12,BioTeknologi/Farmasi/Riset klinik,201 - 500 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, umum, kacamata",Inggris,jobstreet,S1,5985
1555,Jawa,Daerah Khusus Ibukota Jakarta,Content Creator,Bisnis Indonesia,1,0 - 4 tahun,14,Jurnalisme,201 - 500 pekerja,senin - jumat,formal,kemeja polos & dasi,"kesehatan, umum",Indonesia,jobstreet,S1,5985
1556,Jawa,Jawa Tengah,Account Executive,PT Crif Lembaga Informasi Keuangan,1,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,1- 50 pekerja,senin - jumat,bisnis,kemeja,kesehatan,Inggris,jobstreet,"S1, PROFESI",548
1557,Jawa,Daerah Khusus Ibukota Jakarta,Reporter,Bisnis Indonesia,0,0 - 4 tahun,14,Jurnalisme,201 - 500 pekerja,senin - jumat,formal,kemeja polos & dasi,"kesehatan, umum",Indonesia,jobstreet,S1,5985
1558,Jawa,Daerah Khusus Ibukota Jakarta,Psychologist,PT Prima Karya Sarana Sejahtera (Recruitment Firm),1,0 - 4 tahun,11,Manajemen/Konsulting HR,501 - 1000 pekerja,tidak tersedia,tidak spesifik,tidak spesifik,tidak tersedia,Tidak Dicantumkan,jobstreet,S2,5985
1559,Jawa,Jawa Barat,Sales Manager,PT Geodis Wilson Indonesia,4,0 - 4 tahun,14,Transportasi/Logistik,51 - 200 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, umum",Inggris,jobstreet,S1,1771
1560,Jawa,Daerah Khusus Ibukota Jakarta,It Application Developer V2,Bisnis Indonesia,1,0 - 4 tahun,14,Jurnalisme,201 - 500 pekerja,senin - jumat,formal,kemeja polos & dasi,"kesehatan, umum",Indonesia,jobstreet,S1,5985
1561,Jawa,Daerah Khusus Ibukota Jakarta,Accounting Dan Tax,PT. Berkat Kalimantan Abadi,5,5 - 9 tahun,1,Lainnya,1- 50 pekerja,sabtu,formal,kemeja polos & dasi,tidak tersedia,Indonesia,jobstreet,S1,5985
1562,Jawa,Banten,Sales Supervisor,PT Korea Tomorrow & Global Indonesia,5,5 - 9 tahun,14,Produk Konsumen/Barang konsumen yang bergerak cepat,1001 - 2000 pekerja,senin - sabtu,bisnis,kemeja,"kesehatan, komunikasi, bpjs kesehatan","Indonesia, Inggris",jobstreet,PROFESI,1219
1563,Jawa,Banten,Dosen Tetap Prodi Sistem Informasi,Universitas Bunda Mulia (Yayasan Pendidikan Bunda Mulia ),1,0 - 4 tahun,5,Pendidikan,201 - 500 pekerja,senin - jumat,formal,kemeja polos & dasi,"kesehatan, pendidikan, umum",Indonesia,jobstreet,"S2, S1",1219
1564,Jawa,Daerah Khusus Ibukota Jakarta,Hrga Assistant Manager,PT Bukitmega Masabadi,5,5 - 9 tahun,12,Polymer/Plastik/Karet/Ban,51 - 200 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, umum, thr, kacamata",Indonesia,jobstreet,S1,5985
1565,Jawa,Jawa Timur,Fashion Stylist,PT Kasih Karunia Sejati,1,0 - 4 tahun,tidak tersedia,Pakaian,201 - 500 pekerja,senin - sabtu,seragam,seragam kantor/lapangan,kesehatan,Indonesia,jobstreet,S1,1296
1566,Jawa,Daerah Khusus Ibukota Jakarta,Ppic Staff,PT. Mustika Citra Rasa,1,0 - 4 tahun,14,Makanan & Minuman/Katering/Restoran,2001 - 5000 pekerja,sabtu,bisnis,kemeja,"kesehatan, bpjs kesehatan",Indonesia,jobstreet,S1,5985
1567,Sumatera,Sumatera Utara,Sales Assistant & Cashier,PT Sarimode Fashindo Adiperkasa (Subsidiary of PT MAP),0,0 - 4 tahun,14,Retail/Merchandise,1001 - 2000 pekerja,sabtu,bisnis,kemeja,"kesehatan, kacamata",Inggris,jobstreet,TIDAK DICANTUMKAN,225
1568,Jawa,Daerah Khusus Ibukota Jakarta,Legal & Ga,PT Laris Manis Utama,3,0 - 4 tahun,14,Produk Konsumen/Barang konsumen yang bergerak cepat,201 - 500 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, umum",Indonesia,jobstreet,S1,5985
1569,Jawa,Jawa Barat,Hrd Manager,PT Total Prime Engineering,5,5 - 9 tahun,14,Manufaktur/Produksi,201 - 500 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, umum, asuransi",Indonesia,jobstreet,S1,1771
1570,Jawa,Banten,Digital Marketing,PT Pangeran Maju Bahagia,1,0 - 4 tahun,9,Retail/Merchandise,201 - 500 pekerja,tidak tersedia,tidak spesifik,tidak spesifik,tidak tersedia,Indonesia,jobstreet,S1,1219
1571,Jawa,Banten,Sales Executive,PT Pangeran Maju Bahagia,3,0 - 4 tahun,9,Retail/Merchandise,201 - 500 pekerja,tidak tersedia,tidak spesifik,tidak spesifik,tidak tersedia,Indonesia,jobstreet,SMA,1219
1572,Jawa,Daerah Khusus Ibukota Jakarta,It Development Officer,PT. Kalbe Farma Tbk. (International Division),3,0 - 4 tahun,12,BioTeknologi/Farmasi/Riset klinik,201 - 500 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, umum, kacamata",Inggris,jobstreet,S1,5985
1573,Jawa,Daerah Istimewa Yogyakarta,Sales Assistant & Cashier,PT Sarimode Fashindo Adiperkasa (Subsidiary of PT MAP),0,0 - 4 tahun,14,Retail/Merchandise,1001 - 2000 pekerja,sabtu,bisnis,kemeja,"kesehatan, kacamata",Inggris,jobstreet,TIDAK DICANTUMKAN,216
1574,Jawa,Daerah Khusus Ibukota Jakarta,Senior Product Development Manager,PT Prudential Life Assurance,7,5 - 9 tahun,14,Asuransi,1001 - 2000 pekerja,senin - jumat,kasual,kaos,"kesehatan, umum",Inggris,jobstreet,TIDAK DICANTUMKAN,5985
1575,Jawa,Daerah Khusus Ibukota Jakarta,Technical Superintendent,PT Buana Lintas Lautan Tbk,2,0 - 4 tahun,14,Transportasi/Logistik,51 - 200 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, transportasi, makan, jht, pensiun, bpjs kesehatan",Indonesia,jobstreet,"S1, S2, S3",5985
1576,Jawa,Daerah Khusus Ibukota Jakarta,Marine Personnel Assistant,PT Buana Lintas Lautan Tbk,2,0 - 4 tahun,14,Transportasi/Logistik,51 - 200 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, transportasi, makan, jht, pensiun, bpjs kesehatan",Indonesia,jobstreet,"S1, PROFESI",5985
1577,Jawa,Jawa Barat,Warehouse Supervisor,PT. Geoservices,5,5 - 9 tahun,14,Pertambangan,501 - 1000 pekerja,senin - jumat,bisnis,kemeja,kesehatan,Inggris,jobstreet,"D3, S1",1771
1578,Jawa,Daerah Khusus Ibukota Jakarta,Digital Marketing,PT Pangestu Jaya Abadi,1,0 - 4 tahun,14,Produk Konsumen/Barang konsumen yang bergerak cepat,1- 50 pekerja,senin - sabtu,bisnis,kemeja,kesehatan,Indonesia,jobstreet,D3,5985
1579,Jawa,Daerah Istimewa Yogyakarta,Fullstack Developer,Jeli Cipta Teknologi,1,0 - 4 tahun,tidak tersedia,Lainnya,1- 50 pekerja,senin - jumat,kasual,kaos,bpjs kesehatan,Indonesia,jobstreet,"D3, S1",216
1580,Jawa,Banten,Assistent Kepala Toko,CV Sabar Maju Tangerang,1,0 - 4 tahun,14,Retail/Merchandise,1- 50 pekerja,senin - jumat,bisnis,kemeja,lainnya,Indonesia,jobstreet,"PROFESI, SMA",1219
1581,Kalimantan,Kalimantan Timur,Credit Marketing Officer Samarinda,PT Maybank Indonesia Finance,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,1001 - 2000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, umum",Indonesia,jobstreet,D3,159
1582,Jawa,Banten,Operator Maintenance,PT O.M. Indonesia,4,0 - 4 tahun,tidak tersedia,Manufaktur/Produksi,1- 50 pekerja,tidak spesifik,kasual,kaos,kesehatan,Inggris,jobstreet,TIDAK DICANTUMKAN,1219
1583,Jawa,Jawa Barat,Assistant Chief Lean,PT TK Industrial Indonesia,2,0 - 4 tahun,14,Manufaktur/Produksi,lebih dari 5000 pekerja,senin - sabtu,kasual,kaos,"kesehatan, umum, makan","Indonesia, Inggris",jobstreet,"S1, S2, S3",1771
1584,Jawa,Jawa Tengah,Apoteker,Apotek Sarika,1,0 - 4 tahun,14,BioTeknologi/Farmasi/Riset klinik,51 - 200 pekerja,sabtu,bisnis,kemeja,"kesehatan, umum",Indonesia,jobstreet,S1,548
1585,Jawa,Jawa Tengah,Logistic Staff Semarang,PT Perindustrian Bapak Djenggot (Orang Tua Group),0,0 - 4 tahun,14,Produk Konsumen/Barang konsumen yang bergerak cepat,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, umum, bpjs kesehatan",Indonesia,jobstreet,S1,548
1586,Jawa,Jawa Timur,Kepala Kendaraan,Fuboru Indonesia Group,3,0 - 4 tahun,14,Manufaktur/Produksi,501 - 1000 pekerja,senin - sabtu,bisnis,kemeja,"bpjs kesehatan, thr, makan",Indonesia,jobstreet,TIDAK DICANTUMKAN,1296
