id_loker,provinsi,pendidikan
140,DKI Jakarta,TIDAK DICANTUMKAN
141,Kepulauan Riau,TIDAK DICANTUMKAN
142,Kepulauan Riau,TIDAK DICANTUMKAN
143,Kepulauan Riau,TIDAK DICANTUMKAN
144,DKI Jakarta,TIDAK DICANTUMKAN
145,Kepulauan Riau,TIDAK DICANTUMKAN
146,DKI Jakarta,TIDAK DICANTUMKAN
147,DKI Jakarta,TIDAK DICANTUMKAN
148,Jawa Barat,TIDAK DICANTUMKAN
149,DKI Jakarta,TIDAK DICANTUMKAN
150,DKI Jakarta,TIDAK DICANTUMKAN
151,DKI Jakarta,TIDAK DICANTUMKAN
152,DKI Jakarta,TIDAK DICANTUMKAN
153,DKI Jakarta,S1
154,Kepulauan Riau,TIDAK DICANTUMKAN
155,Kepulauan Riau,D3
156,DKI Jakarta,TIDAK DICANTUMKAN
157,DKI Jakarta,TIDAK DICANTUMKAN
158,DKI Jakarta,S1
159,DKI Jakarta,TIDAK DICANTUMKAN
160,DKI Jakarta,S1
161,Banten,S1
162,DKI Jakarta,TIDAK DICANTUMKAN
163,Kepulauan Riau,TIDAK DICANTUMKAN
164,Kepulauan Riau,TIDAK DICANTUMKAN
165,DKI Jakarta,TIDAK DICANTUMKAN
166,DKI Jakarta,TIDAK DICANTUMKAN
167,Kepulauan Riau,TIDAK DICANTUMKAN
168,DKI Jakarta,TIDAK DICANTUMKAN
169,DKI Jakarta,TIDAK DICANTUMKAN
170,DKI Jakarta,S1
171,Banten,TIDAK DICANTUMKAN
172,DKI Jakarta,TIDAK DICANTUMKAN
173,DKI Jakarta,S1
174,DKI Jakarta,TIDAK DICANTUMKAN
175,DKI Jakarta,TIDAK DICANTUMKAN
176,DKI Jakarta,TIDAK DICANTUMKAN
177,Kepulauan Riau,TIDAK DICANTUMKAN
178,DKI Jakarta,TIDAK DICANTUMKAN
179,DKI Jakarta,TIDAK DICANTUMKAN
180,Kepulauan Riau,TIDAK DICANTUMKAN
181,Kepulauan Riau,TIDAK DICANTUMKAN
182,Kepulauan Riau,D3
183,DKI Jakarta,S1
184,DKI Jakarta,TIDAK DICANTUMKAN
185,Jawa Barat,TIDAK DICANTUMKAN
186,DKI Jakarta,TIDAK DICANTUMKAN
187,DKI Jakarta,TIDAK DICANTUMKAN
188,DKI Jakarta,S1
189,DKI Jakarta,TIDAK DICANTUMKAN
190,DKI Jakarta,TIDAK DICANTUMKAN
191,DKI Jakarta,TIDAK DICANTUMKAN
192,Jawa Barat,S1
193,Jawa Barat,S1
194,DKI Jakarta,S1
195,DKI Jakarta,S1
196,Kepulauan Riau,TIDAK DICANTUMKAN
197,DKI Jakarta,S1
198,DKI Jakarta,S1
199,DKI Jakarta,S1
200,DKI Jakarta,S1
201,DKI Jakarta,TIDAK DICANTUMKAN
202,DKI Jakarta,S1
203,DKI Jakarta,TIDAK DICANTUMKAN
204,DKI Jakarta,TIDAK DICANTUMKAN
205,DKI Jakarta,TIDAK DICANTUMKAN
206,DKI Jakarta,TIDAK DICANTUMKAN
207,DKI Jakarta,TIDAK DICANTUMKAN
208,DKI Jakarta,TIDAK DICANTUMKAN
209,Kepulauan Riau,D3
210,Sumatera Utara,TIDAK DICANTUMKAN
211,DKI Jakarta,TIDAK DICANTUMKAN
212,DKI Jakarta,S1
213,DKI Jakarta,S1
214,DKI Jakarta,S1
215,DKI Jakarta,S1
216,DKI Jakarta,S1
217,DKI Jakarta,S1
218,DKI Jakarta,S1
219,DKI Jakarta,S1
220,DKI Jakarta,TIDAK DICANTUMKAN
221,DKI Jakarta,S1
222,DI Yogyakarta,S1
223,Kepulauan Riau,TIDAK DICANTUMKAN
224,Kepulauan Riau,TIDAK DICANTUMKAN
225,DKI Jakarta,TIDAK DICANTUMKAN
226,DKI Jakarta,TIDAK DICANTUMKAN
227,DKI Jakarta,S1
228,DKI Jakarta,TIDAK DICANTUMKAN
229,Kepulauan Riau,TIDAK DICANTUMKAN
230,DKI Jakarta,TIDAK DICANTUMKAN
231,Kepulauan Riau,TIDAK DICANTUMKAN
232,DKI Jakarta,S1
233,DKI Jakarta,S1
234,DKI Jakarta,TIDAK DICANTUMKAN
235,Kepulauan Riau,TIDAK DICANTUMKAN
236,DKI Jakarta,TIDAK DICANTUMKAN
237,Kepulauan Riau,TIDAK DICANTUMKAN
238,DKI Jakarta,TIDAK DICANTUMKAN
239,DKI Jakarta,TIDAK DICANTUMKAN
240,DKI Jakarta,TIDAK DICANTUMKAN
241,DKI Jakarta,S1
242,DKI Jakarta,TIDAK DICANTUMKAN
243,DKI Jakarta,TIDAK DICANTUMKAN
244,DKI Jakarta,TIDAK DICANTUMKAN
245,DKI Jakarta,S1
246,DKI Jakarta,TIDAK DICANTUMKAN
247,DKI Jakarta,S1
248,DKI Jakarta,TIDAK DICANTUMKAN
249,DKI Jakarta,TIDAK DICANTUMKAN
250,Banten,TIDAK DICANTUMKAN
251,Banten,TIDAK DICANTUMKAN
252,Banten,TIDAK DICANTUMKAN
253,DKI Jakarta,TIDAK DICANTUMKAN
254,DKI Jakarta,S1
255,DKI Jakarta,TIDAK DICANTUMKAN
256,DKI Jakarta,TIDAK DICANTUMKAN
257,DKI Jakarta,TIDAK DICANTUMKAN
258,Kepulauan Riau,TIDAK DICANTUMKAN
259,DKI Jakarta,TIDAK DICANTUMKAN
260,Kepulauan Riau,TIDAK DICANTUMKAN
261,DKI Jakarta,S1
262,DKI Jakarta,TIDAK DICANTUMKAN
263,Banten,S1
264,DKI Jakarta,TIDAK DICANTUMKAN
265,DKI Jakarta,TIDAK DICANTUMKAN
266,DKI Jakarta,S1
267,DKI Jakarta,TIDAK DICANTUMKAN
268,DKI Jakarta,TIDAK DICANTUMKAN
269,DKI Jakarta,TIDAK DICANTUMKAN
270,DKI Jakarta,TIDAK DICANTUMKAN
271,DKI Jakarta,TIDAK DICANTUMKAN
272,DKI Jakarta,TIDAK DICANTUMKAN
273,Banten,S1
274,DKI Jakarta,TIDAK DICANTUMKAN
275,DKI Jakarta,D3
276,DKI Jakarta,D3
277,DKI Jakarta,TIDAK DICANTUMKAN
278,DKI Jakarta,D3
279,DKI Jakarta,TIDAK DICANTUMKAN
280,DKI Jakarta,TIDAK DICANTUMKAN
281,DKI Jakarta,TIDAK DICANTUMKAN
282,Kepulauan Riau,D3
283,Jawa Barat,TIDAK DICANTUMKAN
284,DKI Jakarta,TIDAK DICANTUMKAN
285,Jawa Barat,TIDAK DICANTUMKAN
286,DKI Jakarta,TIDAK DICANTUMKAN
287,Jawa Barat,TIDAK DICANTUMKAN
288,DKI Jakarta,D3
289,Kepulauan Riau,TIDAK DICANTUMKAN
290,DKI Jakarta,S1
291,Banten,S1
292,DKI Jakarta,TIDAK DICANTUMKAN
293,DKI Jakarta,S1
294,DKI Jakarta,TIDAK DICANTUMKAN
295,DKI Jakarta,TIDAK DICANTUMKAN
296,DKI Jakarta,D3
296,DKI Jakarta,S1
297,DKI Jakarta,TIDAK DICANTUMKAN
298,DKI Jakarta,S1
299,Kepulauan Riau,TIDAK DICANTUMKAN
300,Jawa Barat,S1
301,DKI Jakarta,S1
302,DKI Jakarta,S1
303,DKI Jakarta,TIDAK DICANTUMKAN
304,DKI Jakarta,S1
305,Banten,S1
306,Banten,S1
307,Jawa Barat,S1
308,DKI Jakarta,TIDAK DICANTUMKAN
309,DKI Jakarta,S1
310,DI Yogyakarta,TIDAK DICANTUMKAN
311,Kepulauan Riau,TIDAK DICANTUMKAN
312,Kepulauan Riau,TIDAK DICANTUMKAN
313,DKI Jakarta,TIDAK DICANTUMKAN
314,DKI Jakarta,TIDAK DICANTUMKAN
315,DKI Jakarta,D3
316,DKI Jakarta,S1
317,DKI Jakarta,D3
318,DKI Jakarta,TIDAK DICANTUMKAN
319,Banten,TIDAK DICANTUMKAN
320,DKI Jakarta,D3
321,DKI Jakarta,TIDAK DICANTUMKAN
322,DKI Jakarta,TIDAK DICANTUMKAN
323,DKI Jakarta,TIDAK DICANTUMKAN
324,DKI Jakarta,TIDAK DICANTUMKAN
325,DKI Jakarta,TIDAK DICANTUMKAN
326,DKI Jakarta,TIDAK DICANTUMKAN
327,DKI Jakarta,TIDAK DICANTUMKAN
328,DKI Jakarta,TIDAK DICANTUMKAN
329,DKI Jakarta,TIDAK DICANTUMKAN
330,Kepulauan Riau,TIDAK DICANTUMKAN
331,DKI Jakarta,TIDAK DICANTUMKAN
332,DKI Jakarta,S1
333,DKI Jakarta,TIDAK DICANTUMKAN
334,DKI Jakarta,TIDAK DICANTUMKAN
335,DKI Jakarta,TIDAK DICANTUMKAN
336,Banten,TIDAK DICANTUMKAN
337,Banten,TIDAK DICANTUMKAN
338,DKI Jakarta,S1
339,DKI Jakarta,TIDAK DICANTUMKAN
340,Banten,TIDAK DICANTUMKAN
341,Kepulauan Riau,TIDAK DICANTUMKAN
342,Kepulauan Riau,TIDAK DICANTUMKAN
343,Kepulauan Riau,TIDAK DICANTUMKAN
344,DKI Jakarta,S1
345,Jawa Barat,TIDAK DICANTUMKAN
346,Kepulauan Riau,TIDAK DICANTUMKAN
347,DKI Jakarta,S1
